run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,rmse_velocity,cosine_similarity,rmse_mass_created,rmse_mass_destroyed
phase2_24_48_ott_v1,20251112_B09_e01__34to36,20251112_B09_e01,mutant,4,cep290_homozygous,34.0,36.0,38.125891045409695,0.18888546959426789,0.11419756232868178,0.0004969523900701041
phase2_24_48_ott_v1,20251112_B09_e01__36to38,20251112_B09_e01,mutant,4,cep290_homozygous,36.0,38.0,24.621472235742292,0.8064786860366772,0.06876656676921702,0.00028629482459779107
phase2_24_48_ott_v1,20251112_B09_e01__38to40,20251112_B09_e01,mutant,4,cep290_homozygous,38.0,40.0,16.763662814368445,0.28489496271238957,0.0661945240601869,0.0001386895198771142
phase2_24_48_ott_v1,20251112_B09_e01__40to42,20251112_B09_e01,mutant,4,cep290_homozygous,40.0,42.0,23.07430952987561,0.6484173872292682,0.11196565212835595,0.00031488277974707523
phase2_24_48_ott_v1,20251112_B09_e01__42to44,20251112_B09_e01,mutant,4,cep290_homozygous,42.0,44.0,147.08974048194713,0.20209818322478515,0.03547825605664886,0.003029457685423306
phase2_24_48_ott_v1,20251112_B09_e01__44to46,20251112_B09_e01,mutant,4,cep290_homozygous,44.0,46.0,368.19303953846156,-0.44045867829809804,0.05663338980544809,0.007335998577930249
phase2_24_48_ott_v1,20251112_B09_e01__46to48,20251112_B09_e01,mutant,4,cep290_homozygous,46.0,48.0,312.96811547364,-0.10332326338682009,0.3009713989596857,0.004888649888651566
phase2_24_48_ott_v1,20251112_C12_e01__24to26,20251112_C12_e01,mutant,3,cep290_homozygous,24.0,26.0,52.024934408310806,0.02800919082103301,0.06471877108411948,0.0005166575234926675
phase2_24_48_ott_v1,20251112_C12_e01__26to28,20251112_C12_e01,mutant,3,cep290_homozygous,26.0,28.0,28.090801893577414,0.40108942141862197,0.09399477039064599,0.00016312481535193476
phase2_24_48_ott_v1,20251112_C12_e01__28to30,20251112_C12_e01,mutant,3,cep290_homozygous,28.0,30.0,41.653540288030825,0.24198372052963896,0.07953522968491679,0.00018199166167903223
phase2_24_48_ott_v1,20251112_C12_e01__30to32,20251112_C12_e01,mutant,3,cep290_homozygous,30.0,32.0,33.56799978041587,0.30504021806906245,0.12926310411416386,0.00022310703689465812
phase2_24_48_ott_v1,20251112_C12_e01__32to34,20251112_C12_e01,mutant,3,cep290_homozygous,32.0,34.0,44.36545163917866,0.18885974985548915,0.22239891294336606,0.0003710767910842716
phase2_24_48_ott_v1,20251112_C12_e01__34to36,20251112_C12_e01,mutant,3,cep290_homozygous,34.0,36.0,27.575403661676045,0.026508083598812047,0.09715356662523272,0.00026379101060526323
phase2_24_48_ott_v1,20251112_C12_e01__36to38,20251112_C12_e01,mutant,3,cep290_homozygous,36.0,38.0,28.166966929370602,0.40325567052435035,0.12931504448701397,0.00028446650971581094
phase2_24_48_ott_v1,20251112_C12_e01__38to40,20251112_C12_e01,mutant,3,cep290_homozygous,38.0,40.0,51.11000742859069,0.515389297687521,0.20221988485248885,0.0006451643705573795
phase2_24_48_ott_v1,20251112_C12_e01__40to42,20251112_C12_e01,mutant,3,cep290_homozygous,40.0,42.0,25.278300176943766,0.5784128895119045,0.10197818085947387,0.000381132072895769
phase2_24_48_ott_v1,20251112_C12_e01__42to44,20251112_C12_e01,mutant,3,cep290_homozygous,42.0,44.0,298.5495631884708,0.965441553344118,0.017217672321726114,0.006138327222390095
phase2_24_48_ott_v1,20251112_C12_e01__44to46,20251112_C12_e01,mutant,3,cep290_homozygous,44.0,46.0,293.35898555387973,0.6117563182357936,0.08994415669083593,0.004600346568135777
phase2_24_48_ott_v1,20251112_C12_e01__46to48,20251112_C12_e01,mutant,3,cep290_homozygous,46.0,48.0,358.1766654233755,0.211869060208893,0.07144029516084448,0.008285996330147738
phase2_24_48_ott_v1,20251112_D08_e01__24to26,20251112_D08_e01,mutant,19,cep290_homozygous,24.0,26.0,119.60502973835978,-0.26865032295486024,0.026887430593019512,0.0005960599750146816
phase2_24_48_ott_v1,20251112_D08_e01__26to28,20251112_D08_e01,mutant,19,cep290_homozygous,26.0,28.0,29.98879794794239,0.48427576905209635,0.0725072281668775,0.00013248365927844756
phase2_24_48_ott_v1,20251112_D08_e01__28to30,20251112_D08_e01,mutant,19,cep290_homozygous,28.0,30.0,120.15030355361306,-0.01212664885700354,0.07512407525240976,0.0006774096888846475
phase2_24_48_ott_v1,20251112_D08_e01__30to32,20251112_D08_e01,mutant,19,cep290_homozygous,30.0,32.0,104.65342861821506,0.12926909885667492,0.13179032847739713,0.0006196020195261594
phase2_24_48_ott_v1,20251112_D08_e01__32to34,20251112_D08_e01,mutant,19,cep290_homozygous,32.0,34.0,56.599910047009196,0.9133909491331939,0.21791164857115805,0.0004835769362539998
phase2_24_48_ott_v1,20251112_D08_e01__34to36,20251112_D08_e01,mutant,19,cep290_homozygous,34.0,36.0,87.08106325168137,-0.18618648242876304,0.11768939426870409,0.0009336271180719478
phase2_24_48_ott_v1,20251112_D08_e01__36to38,20251112_D08_e01,mutant,19,cep290_homozygous,36.0,38.0,61.266264334249556,0.6317648677415718,0.08369989804818044,0.0006637976945071464
phase2_24_48_ott_v1,20251112_D08_e01__38to40,20251112_D08_e01,mutant,19,cep290_homozygous,38.0,40.0,23.240787145832762,0.42742951569216514,0.09793527630538142,0.00015913755949855616
phase2_24_48_ott_v1,20251112_D08_e01__40to42,20251112_D08_e01,mutant,19,cep290_homozygous,40.0,42.0,47.15441431454648,0.42862141646103935,0.12495562260940297,0.0005832315464879051
phase2_24_48_ott_v1,20251112_D08_e01__42to44,20251112_D08_e01,mutant,19,cep290_homozygous,42.0,44.0,139.61235134243526,0.9576511280476158,0.09535156890864173,0.0028704652847845306
phase2_24_48_ott_v1,20251112_D08_e01__44to46,20251112_D08_e01,mutant,19,cep290_homozygous,44.0,46.0,135.77504855471307,0.39345577512745705,0.07913477178601144,0.0029027748922045913
phase2_24_48_ott_v1,20251112_D08_e01__46to48,20251112_D08_e01,mutant,19,cep290_homozygous,46.0,48.0,294.4569687705141,0.17133799636929523,0.05637632479195672,0.0063809301190743606
phase2_24_48_ott_v1,20251112_F11_e01__24to26,20251112_F11_e01,mutant,7,cep290_homozygous,24.0,26.0,52.37047451268803,-0.3017614564841672,0.03872547273361401,0.0005139873044751718
phase2_24_48_ott_v1,20251112_F11_e01__26to28,20251112_F11_e01,mutant,7,cep290_homozygous,26.0,28.0,127.96381672168593,-0.30491827923440334,0.10113722112782224,0.0007273445828219844
phase2_24_48_ott_v1,20251112_F11_e01__28to30,20251112_F11_e01,mutant,7,cep290_homozygous,28.0,30.0,102.68913201060992,-0.0478686606416707,0.09058759974240337,0.0006812216616610194
phase2_24_48_ott_v1,20251112_F11_e01__30to32,20251112_F11_e01,mutant,7,cep290_homozygous,30.0,32.0,30.406239526974385,0.6881150737382049,0.12885357598530134,0.00013730781929442305
phase2_24_48_ott_v1,20251112_F11_e01__32to34,20251112_F11_e01,mutant,7,cep290_homozygous,32.0,34.0,42.41261044416462,0.658902971261569,0.23024723941808875,0.00036789906724717515
phase2_24_48_ott_v1,20251112_F11_e01__34to36,20251112_F11_e01,mutant,7,cep290_homozygous,34.0,36.0,23.670720601813414,0.5182439763860469,0.1084964405739377,0.0002274258987289643
phase2_24_48_ott_v1,20251112_F11_e01__36to38,20251112_F11_e01,mutant,7,cep290_homozygous,36.0,38.0,28.290515725119736,0.3533573439959173,0.06785753639845321,0.00029243188064553925
phase2_24_48_ott_v1,20251112_F11_e01__38to40,20251112_F11_e01,mutant,7,cep290_homozygous,38.0,40.0,43.808977521281314,0.4679171427556746,0.0694918496387236,0.0006406251648172267
phase2_24_48_ott_v1,20251112_F11_e01__40to42,20251112_F11_e01,mutant,7,cep290_homozygous,40.0,42.0,32.076352477955325,-0.5461931992127681,0.12024158745868435,0.0003705105332843661
phase2_24_48_ott_v1,20251112_F11_e01__42to44,20251112_F11_e01,mutant,7,cep290_homozygous,42.0,44.0,152.11178628386557,-0.7824465525545364,0.020401151867258265,0.003036667206768053
phase2_24_48_ott_v1,20251112_F11_e01__44to46,20251112_F11_e01,mutant,7,cep290_homozygous,44.0,46.0,135.96294854807232,0.2995116638504956,0.06641900439562372,0.002869420910045015
phase2_24_48_ott_v1,20251112_F11_e01__46to48,20251112_F11_e01,mutant,7,cep290_homozygous,46.0,48.0,131.53605793813352,-0.21275167168725168,0.09517275200889316,0.003088813120026735
phase2_24_48_ott_v1,20251112_G09_e01__24to26,20251112_G09_e01,mutant,6,cep290_homozygous,24.0,26.0,54.86694490543701,-0.10496957327734245,0.07358250581979467,0.0005192252708370163
phase2_24_48_ott_v1,20251112_G09_e01__26to28,20251112_G09_e01,mutant,6,cep290_homozygous,26.0,28.0,28.445311756208397,0.33296806594215367,0.06981059373126575,0.00013448439357164387
phase2_24_48_ott_v1,20251112_G09_e01__28to30,20251112_G09_e01,mutant,6,cep290_homozygous,28.0,30.0,30.506273068163114,0.2762529921951473,0.09832167140764596,0.00015521195798313402
phase2_24_48_ott_v1,20251112_G09_e01__30to32,20251112_G09_e01,mutant,6,cep290_homozygous,30.0,32.0,24.036970397406023,0.38892928823168377,0.10913740758893622,8.378007738963039e-05
phase2_24_48_ott_v1,20251112_G09_e01__32to34,20251112_G09_e01,mutant,6,cep290_homozygous,32.0,34.0,61.72874594465181,0.8847998106968376,0.22068421986610703,0.0004904308340383504
phase2_24_48_ott_v1,20251112_G09_e01__34to36,20251112_G09_e01,mutant,6,cep290_homozygous,34.0,36.0,37.945278799751435,0.21372514043494723,0.18972978215970346,0.00027475948362132475
phase2_24_48_ott_v1,20251112_G09_e01__36to38,20251112_G09_e01,mutant,6,cep290_homozygous,36.0,38.0,26.32946753057758,0.24935634186541294,0.08871410279699002,0.0002790902784045078
phase2_24_48_ott_v1,20251112_G09_e01__38to40,20251112_G09_e01,mutant,6,cep290_homozygous,38.0,40.0,23.124612364127433,-0.3509477445255148,0.07630220243280973,0.0002201522447234686
phase2_24_48_ott_v1,20251112_G09_e01__40to42,20251112_G09_e01,mutant,6,cep290_homozygous,40.0,42.0,23.877090941647033,0.5049493138889148,0.09178400286280781,0.0002778972011227976
