timepoint,temp,embryo,well,pheno_note,tag
30,32C,HF4-30-HF4-30hpf-32C_P9_C7,C7,severe,30-32C-C7
24,32C,HF4-24-HF4-24hpf-32C_P2_C6,C6,severe,24-32C-C6
36,34C,HF4-36-HF4-36hpf-34C_P12_E10,E10,severe,36-34C-E10
36,34C,HF4-36-HF4-36hpf-34C_P12_B12,B12,severe,36-34C-B12
30,32C,HF4-30-HF4-30hpf-32C_P9_H6,H6,severe,30-32C-H6
24,34C,HF4-24-HF4-24hpf-34C_P2_E9,E9,norm,24-34C-E9
36,34C,HF4-36-HF4-36hpf-34C_P12_D11,D11,severe,36-34C-D11
30,34C,HF4-30-HF4-30hpf-34C_P9_A10,A10,norm,30-34C-A10
36,32C,HF4-36-HF4-36hpf-32C_P12_A5,A5,norm,36-32C-A5
24,32C,HF4-24-HF4-24hpf-32C_P2_B3,B3,norm,24-32C-B3
30,32C,HF4-30-HF4-30hpf-32C_P9_F6,F6,severe,30-32C-F6
24,32C,HF4-24-HF4-24hpf-32C_P2_F7,F7,norm,24-32C-F7
24,32C,HF4-24-HF4-24hpf-32C_P2_G5,G5,severe,24-32C-G5
30,34C,HF4-30-HF4-30hpf-34C_P9_H11,H11,severe,30-34C-H11
36,34C,HF4-36-HF4-36hpf-34C_P12_H12,H12,severe,36-34C-H12
24,34C,HF4-24-HF4-24hpf-34C_P2_D11,D11,severe,24-34C-D11
30,32C,HF4-30-HF4-30hpf-32C_P9_C4,C4,norm,30-32C-C4
30,34C,HF4-30-HF4-30hpf-34C_P9_B11,B11,severe,30-34C-B11
30,34C,HF4-30-HF4-30hpf-34C_P9_G9,G9,norm,30-34C-G9
30,34C,HF4-30-HF4-30hpf-34C_P9_B9,B9,norm,30-34C-B9
30,32C,HF4-30-HF4-30hpf-32C_P9_D4,D4,norm,30-32C-D4
30,34C,HF4-30-HF4-30hpf-34C_P9_B12,B12,severe,30-34C-B12
36,32C,HF4-36-HF4-36hpf-32C_P12_F7,F7,severe,36-32C-F7
30,32C,HF4-30-HF4-30hpf-32C_P9_F5,F5,severe,30-32C-F5
36,32C,HF4-36-HF4-36hpf-32C_P12_C4,C4,norm,36-32C-C4
30,34C,HF4-30-HF4-30hpf-34C_P9_H10,H10,severe,30-34C-H10
30,34C,HF4-30-HF4-30hpf-34C_P9_D11,D11,severe,30-34C-D11
36,32C,HF4-36-HF4-36hpf-32C_P12_D3,D3,norm,36-32C-D3
30,32C,HF4-30-HF4-30hpf-32C_P9_D5,D5,norm,30-32C-D5
30,32C,HF4-30-HF4-30hpf-32C_P9_H3,H3,norm,30-32C-H3
36,32C,HF4-36-HF4-36hpf-32C_P12_B6,B6,severe,36-32C-B6
24,32C,HF4-24-HF4-24hpf-32C_P2_D5,D5,severe,24-32C-D5
36,32C,HF4-36-HF4-36hpf-32C_P12_G3,G3,norm,36-32C-G3
36,32C,HF4-36-HF4-36hpf-32C_P12_A4,A4,norm,36-32C-A4
30,34C,HF4-30-HF4-30hpf-34C_P9_D9,D9,norm,30-34C-D9
36,34C,HF4-36-HF4-36hpf-34C_P12_F8,F8,norm,36-34C-F8
30,32C,HF4-30-HF4-30hpf-32C_P9_F7,F7,severe,30-32C-F7
30,32C,HF4-30-HF4-30hpf-32C_P9_G6,G6,severe,30-32C-G6
36,34C,HF4-36-HF4-36hpf-34C_P12_C12,C12,severe,36-34C-C12
30,32C,HF4-30-HF4-30hpf-32C_P9_B4,B4,norm,30-32C-B4
24,32C,HF4-24-HF4-24hpf-32C_P2_F3,F3,norm,24-32C-F3
30,34C,HF4-30-HF4-30hpf-34C_P9_F12,F12,severe,30-34C-F12
30,32C,HF4-30-HF4-30hpf-32C_P9_B7,B7,severe,30-32C-B7
30,34C,HF4-30-HF4-30hpf-34C_P9_F9,F9,norm,30-34C-F9
30,32C,HF4-30-HF4-30hpf-32C_P9_A7,A7,severe,30-32C-A7
30,32C,HF4-30-HF4-30hpf-32C_P9_G5,G5,severe,30-32C-G5
36,32C,HF4-36-HF4-36hpf-32C_P12_A6,A6,severe,36-32C-A6
24,34C,HF4-24-HF4-24hpf-34C_P2_G11,G11,severe,24-34C-G11
30,34C,HF4-30-HF4-30hpf-34C_P9_F10,F10,severe,30-34C-F10
36,32C,HF4-36-HF4-36hpf-32C_P12_G5,G5,severe,36-32C-G5
24,32C,HF4-24-HF4-24hpf-32C_P2_H5,H5,severe,24-32C-H5
24,34C,HF4-24-HF4-24hpf-34C_P2_B12,B12,severe,24-34C-B12
30,34C,HF4-30-HF4-30hpf-34C_P9_H12,H12,severe,30-34C-H12
36,34C,HF4-36-HF4-36hpf-34C_P12_A10,A10,norm,36-34C-A10
36,34C,HF4-36-HF4-36hpf-34C_P12_G8,G8,norm,36-34C-G8
30,34C,HF4-30-HF4-30hpf-34C_P9_E9,E9,norm,30-34C-E9
30,32C,HF4-30-HF4-30hpf-32C_P9_E5,E5,severe,30-32C-E5
36,32C,HF4-36-HF4-36hpf-32C_P12_C6,C6,severe,36-32C-C6
30,32C,HF4-30-HF4-30hpf-32C_P9_D6,D6,severe,30-32C-D6
24,34C,HF4-24-HF4-24hpf-34C_P2_C8,C8,norm,24-34C-C8
24,34C,HF4-24-HF4-24hpf-34C_P2_D12,D12,severe,24-34C-D12
24,34C,HF4-24-HF4-24hpf-34C_P2_H10,H10,severe,24-34C-H10
36,34C,HF4-36-HF4-36hpf-34C_P12_A9,A9,norm,36-34C-A9
36,32C,HF4-36-HF4-36hpf-32C_P12_E4,E4,norm,36-32C-E4
30,32C,HF4-30-HF4-30hpf-32C_P9_E4,E4,norm,30-32C-E4
24,34C,HF4-24-HF4-24hpf-34C_P2_F8,F8,norm,24-34C-F8
36,34C,HF4-36-HF4-36hpf-34C_P12_D9,D9,norm,36-34C-D9
24,34C,HF4-24-HF4-24hpf-34C_P2_C11,C11,severe,24-34C-C11
24,34C,HF4-24-HF4-24hpf-34C_P2_F12,F12,severe,24-34C-F12
24,32C,HF4-24-HF4-24hpf-32C_P2_E5,E5,severe,24-32C-E5
36,32C,HF4-36-HF4-36hpf-32C_P12_H7,H7,severe,36-32C-H7
36,34C,HF4-36-HF4-36hpf-34C_P12_B8,B8,norm,36-34C-B8
36,32C,HF4-36-HF4-36hpf-32C_P12_C5,C5,norm,36-32C-C5
24,34C,HF4-24-HF4-24hpf-34C_P2_C12,C12,severe,24-34C-C12
