snip_id,opening_applied,opening_skipped,solidity_before_opening,area,perimeter,solidity,extent,eccentricity,circularity,perimeter_area_ratio,pca_success,pca_n_points,geodesic_success,geodesic_n_points,mean_distance,max_distance,hausdorff_distance,spline2_was_flipped,both_methods_succeeded
20251017_part1_H09_e01_t0058,False,True,0.686310403075901,97104.0,2533.6836918456834,0.686310403075901,0.15582464912815608,0.993779400642335,5.260872880622025,8.130810437645666,True,200,True,200,21.700400019236664,70.45049623992993,70.45049623992993,True,True
20251017_part1_E01_e01_t0002,False,True,0.8615907387152671,140217.0,2301.9696961967,0.8615907387152671,0.6695556255909234,0.988127255679445,3.007382507492268,6.147510322747627,True,200,True,200,31.610050503427985,65.57405222748199,65.57405222748199,True,True
20251017_part1_B10_e01_t0023,True,False,0.46017941000191004,131574.0,2202.5209947489207,0.8198880843480103,0.4568732030501271,0.9843212768001979,2.93400042057674,6.072045509352923,True,200,True,200,35.5121679895501,70.25857458899836,70.25857458899836,True,True
20251017_part1_B03_e01_t0003,False,True,0.7749492824404538,103138.0,2024.2783540618016,0.7749492824404538,0.44328399264187596,0.9837168634308714,3.161636179928644,6.303196965409704,True,200,True,200,20.09027688369054,50.02948922463785,49.40167312526134,True,True
20251017_part1_C10_e01_t0001,False,True,0.795156277906769,111302.0,2200.018469431979,0.795156277906769,0.3941065662002153,0.983809810118533,3.4605077106664974,6.594393255340692,True,200,True,200,22.136868964058745,48.997364087354164,48.997364087354164,True,True
20251017_part1_G10_e01_t0019,False,True,0.8453069366935179,133900.0,2359.0388514362617,0.8453069366935179,0.3531723528558429,0.9865733646802638,3.3073468722209407,6.446809020482145,True,200,True,200,27.54012754696609,60.842703109170486,60.842703109170486,True,True
20251017_part1_A03_e01_t0061,False,True,0.7238074327654656,161535.0,2532.5312754854363,0.7238074327654656,0.3292466674819616,0.9760371732262624,3.15960749041616,6.3011743921649055,True,200,True,200,28.286305187372623,67.86583210794261,67.86583210794261,True,True
20251017_part1_F04_e01_t0001,False,True,0.7603977592789635,97191.0,2040.5525240414963,0.7603977592789635,0.3269452013321223,0.9856634882808003,3.4092562194164913,6.545378306293429,True,200,True,200,18.63479203214133,60.79001710059789,57.08653142258935,False,True
20251017_part1_B04_e01_t0003,False,True,0.7087779299204301,112325.0,1988.6458864299486,0.7087779299204301,0.5789590334618477,0.9393647987033813,2.8017451002586506,5.933613342375377,True,200,True,200,32.665035108540096,100.4179477687074,71.61879919253933,False,True
20251017_part1_C02_e01_t0028,False,True,0.7112027441249452,97449.0,2600.3199846221437,0.7112027441249452,0.4242926931215549,0.9917678094371724,5.521617731816723,8.32986763453215,True,200,True,200,29.14772894267216,73.0704092772624,73.0704092772624,False,True
20251017_part1_D06_e01_t0043,False,True,0.7836404243439419,137543.0,2312.7728701520296,0.7836404243439419,0.41206200268430637,0.9787883056200618,3.0946932792805373,6.2361095793135135,True,200,True,200,21.940516866572487,58.079622650536194,58.079622650536194,True,True
20251017_part1_E12_e01_t0025,False,True,0.8361235964755782,145284.0,2415.8786053180506,0.8361235964755782,0.2502122646789852,0.9868708229723133,3.1968522372932826,6.338204005329166,True,200,True,200,27.956491313862358,71.33220544566721,71.33220544566721,True,True
20251017_part1_G04_e01_t0003,False,True,0.7130435927308151,108332.0,2015.3880938411792,0.7130435927308151,0.39563361198455915,0.9688940623759071,2.9836697559868215,6.123226269262389,True,200,True,200,22.02191138535653,64.09953468594549,63.12196693250062,False,True
20251017_part1_H03_e01_t0043,False,True,0.7227252048452975,144566.0,2299.6479784710014,0.7227252048452975,0.3805730471958385,0.974648113548924,2.911030080492523,6.048229729517296,True,200,True,200,37.48443552696063,73.93245588104863,73.93245588104863,True,True
20251017_part1_A11_e01_t0006,False,True,0.7967269813151124,94448.0,2028.528137423857,0.7967269813151124,0.35569615486009115,0.9873752902300077,3.4670447108828952,6.600618817467663,True,200,True,200,31.869039778132965,73.59576141101975,73.59576141101975,False,True
20251017_part1_C06_e01_t0024,False,True,0.7940462137555799,117044.0,2157.7169542418137,0.7940462137555799,0.4629172599272267,0.9852437871027464,3.1654096981305155,6.306957381574324,True,200,True,200,31.46103352862569,78.7343778470044,78.7343778470044,True,True
20251017_part1_C07_e01_t0061,False,True,0.803677069276714,141149.0,2438.2581515262677,0.803677069276714,0.317217990871069,0.9873964855525628,3.351750632153112,6.489941498237766,True,200,True,200,36.46437837729238,79.4047974468228,79.4047974468228,True,True
20251017_part1_C03_e01_t0024,False,True,0.7028170205566365,132928.0,2296.5251788310266,0.7028170205566365,0.291112960448513,0.9712157615672247,3.157301734069872,6.298874798857404,True,200,True,200,29.84034538614496,65.10024937113762,65.10024937113762,True,True
20251017_part1_B08_e01_t0003,False,True,0.743882159526824,78731.0,1544.4621202458748,0.743882159526824,0.47793965883567047,0.9152392431749412,2.411009328313253,5.504328912252747,True,200,True,200,32.218549726430325,72.82829418084631,72.6276051803863,True,True
20251017_part1_H03_e01_t0039,False,True,0.727669412377132,142581.0,2316.2997820866103,0.727669412377132,0.3482239676445591,0.9762346593899455,2.9944565257579656,6.134284839430017,True,200,True,200,34.17631003347379,67.25834319277226,67.25834319277226,True,True
20251017_part1_F06_e01_t0004,False,True,0.6651675937249333,101168.0,1988.7951647286159,0.6651675937249333,0.45541630653990206,0.9522794788360331,3.111193926565532,6.252712686056015,True,200,True,200,23.440487494456175,67.9716292482172,65.24099139921353,True,True
20251017_part1_E06_e01_t0026,False,True,0.7598487518825905,118563.0,2233.255013464688,0.7598487518825905,0.46879151641677735,0.9866449462554149,3.347476921042989,6.48580261901641,True,200,True,200,31.39744688919421,70.09007834229281,70.09007834229281,False,True
