,20251017_combined_A01_e01,20251017_combined_A03_e01,20251017_combined_A04_e01,20251017_combined_A05_e01,20251017_combined_A06_e01,20251017_combined_B01_e01,20251017_combined_B03_e01,20251017_combined_B04_e01,20251017_combined_B05_e01,20251017_combined_B06_e01,20251017_combined_B07_e01,20251017_combined_C01_e01,20251017_combined_C03_e01,20251017_combined_C04_e01,20251017_combined_C05_e01,20251017_combined_C06_e01,20251017_combined_C07_e01,20251017_combined_D04_e01,20251017_combined_D06_e01,20251017_combined_D07_e01,20251017_combined_E04_e01,20251017_combined_E06_e01,20251017_combined_E07_e01,20251017_combined_F03_e01,20251017_combined_F05_e01,20251017_combined_F06_e01,20251017_combined_G03_e01,20251017_combined_G04_e01,20251017_combined_G05_e01,20251017_combined_G06_e01,20251017_combined_G07_e01,20251017_combined_H03_e01,20251017_combined_H05_e01,20251017_combined_H06_e01,20251017_combined_H07_e01
20251017_combined_F06_e01,4.714401825651238,3.258972853221541,11.175506760108213,4.505962827175541,2.4567215940140676,4.137768407082382,8.212515458444816,1.662297035658828,4.714119660478862,1.1564772522219267,4.448894771030902,4.563905744837555,11.138693100889826,7.5342162316740575,0.8788958648882399,4.015897785001931,3.0227304041114285,0.7569035296783742,9.367858113939764,1.3590963208548579,6.0948274807036675,0.8730358786665344,11.864100591071722,10.442492490522147,4.401580557784179,0.0,11.13857068299185,9.037159891079803,17.414062583909132,0.6575517453351727,4.753127218567186,7.517397412857298,3.6761692634648755,4.312294276601056,5.627330237392448
20251017_combined_G03_e01,7.552971465306105,4.774708605348958,2.9195423363924555,10.931459593537737,6.474507062643757,9.906614764127855,5.247683905956338,8.750465751838162,6.3791121439800245,11.222459952305742,7.418387374924811,10.220935391230453,1.7740319054624252,4.062709222527731,7.755486200518611,8.110123128748201,8.608925862213185,8.06508460329953,3.8234991125404796,6.988118745157916,4.888415698164727,8.069375287575483,2.0939437936424907,2.5476792139140327,5.508738667344546,11.13857068299185,0.0,2.9628183925292513,7.725447027512126,7.852027223863478,5.6965168572617815,5.769828299512405,11.277553089308855,11.23864552059859,10.15812458506324
20251017_combined_G04_e01,4.974928528247798,3.431658646410224,4.145474719713052,7.22577608736812,3.194474045879723,6.438164548558089,2.6999055192198274,4.943874666859128,6.267962547872962,7.623492078226759,6.095384082845584,6.716263509456981,3.859328853369009,4.232136288299858,5.263368520392023,4.595006876348221,5.056171995860749,5.872141871710621,1.539423109194007,4.9944496417237545,3.580809855352174,4.720311971436254,4.973963927177155,2.986347710730683,2.8796433247458757,9.037159891079803,2.9628183925292513,0.0,11.71139133234547,4.914560450667653,4.983635464939083,2.327028293437216,6.675256223067825,7.166010447055122,7.361311595054087
20251017_combined_G05_e01,14.753439371386595,10.932317312094701,7.943272266733695,18.12781457929512,12.90715396618786,16.38142864086502,11.994344343197099,14.611632793317796,14.93508714867461,17.6383459309089,16.073967202816224,16.786734020341207,8.503513735974137,12.524276359531566,12.86820988700527,16.250471020496697,16.473050565242996,13.34139135125383,11.917756721276975,11.507770958202586,10.615044384316477,12.955332208853555,7.113985763806844,9.956038910332792,12.79233891820833,17.414062583909132,7.725447027512126,11.71139133234547,0.0,12.860110244143485,12.719813323250204,12.048393591160247,17.732663634405878,18.09179089709137,18.83030231229657
20251017_combined_G06_e01,3.206421427522161,4.36084803837186,7.238782549908683,3.8783565977761336,1.9749105372700797,3.1144935217907816,5.357199549630082,0.9901047483369,2.8986531591928206,0.5701861629562044,2.2194661449827913,2.769472225697931,6.9900998681120825,4.39396986835627,1.0690647183359352,1.8432326407127173,1.8423346191821095,1.2866424504190601,6.519087447008178,0.909685365800594,3.4546932705378617,1.2209952034409244,8.201732756122553,6.499758287188718,2.557743833745623,0.6575517453351727,7.852027223863478,4.914560450667653,12.860110244143485,0.0,2.1466225385472932,3.268960670435267,1.5034080671209897,3.2226055873884047,4.923122375926899
20251017_combined_G07_e01,4.385894786048443,2.8491985908095225,6.02653037009462,8.014802618425854,2.027693474351005,6.373997769513915,3.6676961924624507,2.3466584700986144,5.019801841956762,4.910694253384564,5.56331647774761,6.39889245465251,6.205114983470762,3.5749005246481516,2.2472975033316755,4.6034282510709215,4.878916673570897,2.3060826844892324,6.279871518900709,1.4362491193054379,1.336652459864368,2.1481380680700055,6.947025275887527,5.487414496985627,3.4386115203675276,4.753127218567186,5.6965168572617815,4.983635464939083,12.719813323250204,2.1466225385472932,0.0,2.899725936797697,6.50274809795968,7.648951649270572,8.47651831714858
20251017_combined_H03_e01,3.560226894182499,1.8941809612929172,5.761216239520413,6.4701321990346905,2.1642660141302557,5.662193012634093,2.243496858395118,4.021887938741361,3.013534887874044,6.682083563030269,3.4067110295303604,5.4166186923181625,3.5772983663820708,1.4380380625376288,4.549710185087916,3.487274779529482,3.6202590652026982,4.6215645619566255,3.8209686504334286,3.739633879921444,3.1066685283393256,4.311802621192381,5.332051308740779,2.8447323609414576,1.8592332810801742,7.517397412857298,5.769828299512405,2.327028293437216,12.048393591160247,3.268960670435267,2.899725936797697,0.0,6.034649042604911,6.563655576821885,6.110473413699045
20251017_combined_H05_e01,3.1033150359836714,3.64503456984201,11.353165406744886,1.9503787080993615,0.6648847612495231,1.370037012849647,7.165890734276336,3.4132157186617396,4.253049959449586,2.0452669034137565,3.747042779268717,0.9625150156948766,10.010375109332603,6.614907672770501,0.5663985672051994,1.9477326846674707,1.6937638470563228,0.7101058417280841,6.322042452851652,0.7021748117151573,7.820535735367522,0.8148695291970072,11.170771426196138,8.873698435987968,1.8051892003384828,3.6761692634648755,11.277553089308855,6.675256223067825,17.732663634405878,1.5034080671209897,6.50274809795968,6.034649042604911,0.0,1.185528912749028,1.9360577643925914
20251017_combined_H06_e01,3.4228980344007165,4.1587212694124585,11.782460321303697,1.1498234004240329,1.3070265586048486,1.9131305028418613,6.957894826921686,4.952749444318811,3.3276101589059968,2.9904233521325825,2.711681277205189,1.4630270242169614,9.779138881762233,6.085884231506601,1.5258260091428526,2.6756709517697144,2.369833933971219,1.1776770310365254,6.525342035042746,1.5015945597636722,8.66514568478987,1.8993363099185545,11.3258795211033,8.302247745599256,2.1000767176898165,4.312294276601056,11.23864552059859,7.166010447055122,18.09179089709137,3.2226055873884047,7.648951649270572,6.563655576821885,1.185528912749028,0.0,1.2159854769113279
20251017_combined_H07_e01,4.046611227759839,4.72860450477177,10.211533194377752,1.2608636987518411,1.872066434115033,2.9277036597650983,4.868716057278869,6.02740555478795,4.035141658031802,3.836001202540838,3.964203748074937,2.4265547861469603,10.19340495786521,5.4242231646845935,2.669282012840494,3.458447751993336,3.3002009119940556,2.6694983226371054,6.215225186272892,2.931046055342041,9.689973402952674,2.9230765771375795,11.667585271621787,7.9067217329713,2.8589793007672992,5.627330237392448,10.15812458506324,7.361311595054087,18.83030231229657,4.923122375926899,8.47651831714858,6.110473413699045,1.9360577643925914,1.2159854769113279,0.0
