embryo_id,set_type,set_rank,genotype,bin_hpf,frame_index,matched_stage_hpf,stage_abs_err_hpf,curvature,experiment_date,well,analysis_use
20251112_G09_e01,mutant,6,cep290_homozygous,36.0,19,36.27026952468262,0.2702695246826181,0.0008708006092967,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,38.0,21,37.44432454638672,0.5556754536132829,0.0007434791945927,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,40.0,25,39.79477616713867,0.2052238328613285,0.0009730847362921,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,42.0,29,42.147866540869146,0.14786654086914552,0.00071603159047,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,44.0,32,43.906451166162114,0.09354883383788604,0.000567218045824,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,46.0,36,46.25089496025391,0.250894960253909,0.0005666385775159,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0006018855839996,20251112,G09,True
20251112_F11_e01,mutant,7,cep290_homozygous,24.0,0,25.0,1.0,0.000691495536906,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,26.0,2,26.214503708520507,0.21450370852050682,0.0008999279395513,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,28.0,5,27.971825818896484,0.028174181103516105,0.0008670616403584,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,30.0,8,29.728670437890624,0.27132956210937564,0.0007615168799487,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,32.0,12,32.16372909223633,0.1637290922363306,0.0004763959436557,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,34.0,15,33.923683731762694,0.07631626823730642,0.0010613127748006,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,36.0,19,36.27026952468262,0.2702695246826181,0.0004338662417616,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,38.0,22,38.03134323283692,0.03134323283691742,0.0006666519352279,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,40.0,25,39.79477616713867,0.2052238328613285,0.0008849508475603,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,42.0,29,42.147866540869146,0.14786654086914552,0.0002996735858627,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,44.0,32,43.906451166162114,0.09354883383788604,0.0001770701015632,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,46.0,36,46.25089496025391,0.250894960253909,0.0001885228581385,20251112,F11,True
20251112_F11_e01,mutant,7,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.000241110979504,20251112,F11,True
20251205_F01_e01,mutant,8,cep290_homozygous,24.0,8,24.06824309157715,0.06824309157714836,0.0011458805089436,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,26.0,13,25.96444057141113,0.035559428588868514,0.0013650991396675,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,28.0,18,27.87057764099121,0.12942235900878885,0.0014882517434478,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,30.0,24,30.14514263642578,0.1451426364257813,0.0010994993428491,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,32.0,29,32.040464199902345,0.0404641999023454,0.000624088321831,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,34.0,34,33.9409186706543,0.05908132934570176,0.0005118354547945,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,36.0,39,35.83844070600586,0.16155929399413793,0.0004394797450706,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,38.0,45,38.11538743945313,0.11538743945313001,0.0004494376009974,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,40.0,50,40.01158151696777,0.011581516967773098,0.0006851241342075,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,42.0,55,41.9118314357666,0.08816856423339914,0.0007388647699879,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,44.0,60,43.813126406689456,0.1868735933105441,0.0006860387470981,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,46.0,66,46.1006810423584,0.1006810423584028,0.0006890098906187,20251205,F01,True
20251205_F01_e01,mutant,8,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0007570327169619,20251205,F01,True
20251112_H08_e01,mutant,9,cep290_homozygous,24.0,0,25.0,1.0,0.0011829794460449,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,26.0,2,26.214503708520507,0.21450370852050682,0.0010981586783767,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,28.0,5,27.971825818896484,0.028174181103516105,0.0008195631417474,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,30.0,8,29.728670437890624,0.27132956210937564,0.0005245117619433,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,32.0,12,32.16372909223633,0.1637290922363306,0.0006171780586174,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,34.0,15,33.923683731762694,0.07631626823730642,0.0004837287263596,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,36.0,19,36.27026952468262,0.2702695246826181,0.0010607945687254,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,38.0,22,38.03134323283692,0.03134323283691742,0.0010567590985433,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,40.0,25,39.79477616713867,0.2052238328613285,0.0010151969252934,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,42.0,29,42.147866540869146,0.14786654086914552,0.000282841993879,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,44.0,32,43.906451166162114,0.09354883383788604,0.0006893112180997,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,46.0,36,46.25089496025391,0.250894960253909,0.000613427119739,20251112,H08,True
20251112_H08_e01,mutant,9,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0005685475948256,20251112,H08,True
20251205_A04_e01,mutant,10,cep290_homozygous,24.0,8,24.06824309157715,0.06824309157714836,0.0008943213843554,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,26.0,13,25.96444057141113,0.035559428588868514,0.0005029995654491,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,28.0,18,27.87057764099121,0.12942235900878885,0.0010293303413025,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,30.0,24,30.14514263642578,0.1451426364257813,0.0007137649685743,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,32.0,29,32.040464199902345,0.0404641999023454,0.0011476217423311,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,34.0,34,33.9409186706543,0.05908132934570176,0.0009177774198216,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,36.0,39,35.83844070600586,0.16155929399413793,0.0009516600771362,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,38.0,45,38.11538743945313,0.11538743945313001,0.0007135343733981,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,40.0,50,40.01158151696777,0.011581516967773098,0.0006196286863128,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,42.0,55,41.9118314357666,0.08816856423339914,0.0006002724831159,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,44.0,60,43.813126406689456,0.1868735933105441,0.0002944379714187,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,46.0,66,46.1006810423584,0.1006810423584028,0.0004122095796924,20251205,A04,True
20251205_A04_e01,mutant,10,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0003031904413821,20251205,A04,True
20251112_A10_e01,mutant,11,cep290_homozygous,24.0,0,25.0,1.0,0.000915738868398,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,26.0,2,26.214503708520507,0.21450370852050682,0.0007219647999382,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,28.0,5,27.971825818896484,0.028174181103516105,0.0004892056709175,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,30.0,8,29.728670437890624,0.27132956210937564,0.0005025615912323,20251112,A10,True
20251112_A10_e01,mutant,11,cep290_homozygous,32.0,12,32.16372909223633,0.1637290922363306,0.0005211135806674,20251112,A10,True
