run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,bin_mid_hpf,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
phase2_24_48_ott_v1,20251112_B09_e01__44to46,20251112_B09_e01,mutant,4,cep290_homozygous,44.0,46.0,45.0,29488.902,7851.7305,-13383.531,-15735.771,-15323.112,36555.86,-6936.0146,7173.311,-6965.4043,-1013.68854
phase2_24_48_ott_v1,20251112_B09_e01__46to48,20251112_B09_e01,mutant,4,cep290_homozygous,46.0,48.0,47.0,-18382.674,16650.68,-734.57446,1258.8151,1014.58636,-1432.0237,477.57657,-4514.6074,-1243.4387,2749.6895
phase2_24_48_ott_v1,20251205_C09_e01__24to26,20251205_C09_e01,mutant,5,cep290_homozygous,24.0,26.0,25.0,-603.20514,-294.59848,5.344369,-127.9874,4.957237,34.48174,10.751001,-7.6387243,-20.270262,-82.27379
phase2_24_48_ott_v1,20251205_C09_e01__26to28,20251205_C09_e01,mutant,5,cep290_homozygous,26.0,28.0,27.0,53.346016,-775.4227,30.9238,-16.305683,85.07594,-41.90829,-10.218351,33.66472,62.323544,-14.213936
phase2_24_48_ott_v1,20251205_C09_e01__28to30,20251205_C09_e01,mutant,5,cep290_homozygous,28.0,30.0,29.0,-1799.2323,-371.46927,180.54733,118.7969,-46.80287,59.596798,98.25698,21.077923,-121.597786,72.5687
phase2_24_48_ott_v1,20251205_C09_e01__30to32,20251205_C09_e01,mutant,5,cep290_homozygous,30.0,32.0,31.0,345.1444,-747.2352,14.130618,-0.5325468,-2.400944,-51.940468,5.7596936,13.040415,25.780949,-20.312595
phase2_24_48_ott_v1,20251205_C09_e01__32to34,20251205_C09_e01,mutant,5,cep290_homozygous,32.0,34.0,33.0,-379.47354,-695.33826,81.46123,-54.306,19.15876,11.308299,25.225306,22.733297,-46.93326,-79.50183
phase2_24_48_ott_v1,20251205_C09_e01__34to36,20251205_C09_e01,mutant,5,cep290_homozygous,34.0,36.0,35.0,-2182.5745,-659.3711,245.65672,131.47386,25.326962,-4.0364456,30.56362,46.566742,-86.914375,101.764854
phase2_24_48_ott_v1,20251205_C09_e01__36to38,20251205_C09_e01,mutant,5,cep290_homozygous,36.0,38.0,37.0,-677.65015,-745.21094,93.03148,-17.304207,-14.213415,-0.9550629,-34.606365,19.70277,-49.140224,11.8381815
phase2_24_48_ott_v1,20251205_C09_e01__38to40,20251205_C09_e01,mutant,5,cep290_homozygous,38.0,40.0,39.0,-1605.5476,-692.08154,211.34352,21.224955,-3.253912,73.8707,52.896427,40.16579,-60.23339,11.266495
